market,market_id,exchange,asset,symbol,maturity,date,samples,impliedApr,markApr,ammImpliedApr,latestSettlementApr,settlementApr,realizedDailyApr,realizedForwardApr,forwardDaysUsed,dailyBasisApr,forwardBasisApr
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-01,20,0.10949933093093667,0.1094866186187333,0.10949999999999999,0.0979558092,0.1034308092,0.10900484100000002,0.10652255135483764,31,0.000494489930936648,0.0029767795760990284
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-02,24,0.10554927775511823,0.10582932129806773,0.10554927775511823,0.0956576305,0.0956576305,0.09565763050000002,0.10643980836666553,30,0.009891647255118208,-0.0008905306115472994
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-03,24,0.1045221953492294,0.10452075746545353,0.1044945686778181,0.1095,0.1095,0.1095,0.1068116076034471,29,-0.004977804650770606,-0.002289412254217707
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-04,24,0.10296008294306619,0.10296008294306619,0.10296008294306619,0.1095,0.1095,0.1095,0.1067155935892846,28,-0.006539917056933811,-0.0037555106462184157
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-05,24,0.10975114298142356,0.10960626353792478,0.10975766129586573,0.18212306450000001,0.1847628175,0.1847628175,0.10661246742592488,27,-0.07501167451857645,0.0031386755554986823
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-06,24,0.11970361240131938,0.11975817482734818,0.11969429731050302,0.2377266535,0.2350869005,0.2350869005,0.1036066847307681,26,-0.11538328809868062,0.016096927670551278
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-07,24,0.11460753198243682,0.11462792164985273,0.11460753198243682,0.1397935765,0.1397935765,0.13979357650000002,0.09834747609999908,25,-0.02518604451756319,0.016260055882437743
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-08,24,0.11423398404125647,0.11432740542987019,0.11423398404125647,0.119951994,0.120093833,0.120093833,0.09662055524999857,24,-0.00585984895874353,0.017613428791257893
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-09,24,0.1108117876752112,0.11087451978099522,0.11071934299915535,0.100363466,0.100221627,0.10022162700000002,0.09559997795652031,23,0.01059016067521118,0.015211809718690891
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-10,24,0.09895640230243784,0.09892804131291394,0.09891961949811662,0.034695367,0.08084590669565218,0.12221988500000001,0.09538990299999868,22,-0.023263482697562177,0.003566499302439158
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-11,24,0.09635521611068994,0.09635797844646898,0.09635521611068994,0.13463899175000002,0.094458934,0.09445893400000001,0.09411228480952277,21,0.0018962821106899286,0.002242931301167164
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-12,24,0.09326673332937524,0.09315931813915136,0.09322233961774297,0.069229477,0.069229477,0.069229477,0.09409495234999951,20,0.024037256329375242,-0.0008282190206242712
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-13,24,0.0990719872045278,0.0991014065874558,0.09895556214974495,0.09769874699999999,0.09534719800000001,0.09534719800000001,0.09540366157894721,19,0.0037247892045277897,0.0036683256255805874
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-14,24,0.09368489941196229,0.09361240860842447,0.09361240860842447,0.020124932,0.022476481000000003,0.022476481000000006,0.09540679844444355,18,0.07120841841196228,-0.0017218990324812666
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-15,24,0.09872245105296827,0.0985866918525475,0.09863585925154865,0.1095,0.1095,0.1095,0.09969681711764539,17,-0.010777548947031729,-0.0009743660646771152
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-16,24,0.09869954544814602,0.09872143055349673,0.09869954544814602,0.10732076750000001,0.10732076750000001,0.10732076750000001,0.0990841181874984,16,-0.008621222051853991,-0.00038457273935238456
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-17,24,0.09966551294448835,0.0997130332646982,0.09966551294448835,0.1095,0.1095,0.1095,0.09853500823333168,15,-0.009834487055511654,0.0011305047111566657
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-18,24,0.09915236566080694,0.09915236566080694,0.09915236566080694,0.1095,0.1095,0.1095,0.09775179453571273,14,-0.010347634339193057,0.001400571125094216
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-19,24,0.09758682695354408,0.0975737704171483,0.09746843950396904,0.061722084,0.054116871000000004,0.054116871000000004,0.09684808642307548,13,0.043469955953544075,0.0007387405304686012
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-20,24,0.09470312853184663,0.09465214156135142,0.09467135132134576,0.06303568250000001,0.0683660695,0.0683660695,0.10040902104166587,12,0.026337059031846632,-0.005705892509819233
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-21,24,0.08545773301785002,0.08548307129499864,0.08524768028426756,0.028835073,0.0216555595,0.021655559500000005,0.10332201663636263,11,0.06380217351785002,-0.01786428361851261
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-22,24,0.07653467109888741,0.07656397032905274,0.07658918061124209,0.081482819,0.0909371585,0.0909371585,0.11148866234999844,10,-0.014402487401112593,-0.034953991251111025
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-23,24,0.08783661904701673,0.08775092827563574,0.08783661904701673,0.1095,0.1095,0.1095,0.11377216277777633,9,-0.02166338095298327,-0.025935543730759597
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-24,24,0.09435222896327411,0.09397878412840065,0.09445762015515446,0.1095,0.1095,0.1095,0.11430618312499874,8,-0.01514777103672589,-0.01995395416172463
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-25,24,0.09558552658956622,0.09555890650034603,0.09558552658956622,0.1095,0.1095,0.1095,0.11499278071428469,7,-0.01391447341043378,-0.01940725412471847
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-26,24,0.09413081093996434,0.09410351242069169,0.09413081093996434,0.1095,0.1095,0.1095,0.11590824416666597,6,-0.015369189060035662,-0.02177743322670163
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-27,24,0.10944431888248114,0.10941651884121832,0.10944893539148648,0.1372539065,0.1372539065,0.1372539065,0.11718989299999975,5,-0.027809587617518852,-0.007745574117518611
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-28,24,0.10914578037916299,0.10916367553298746,0.10914578037916299,0.1095,0.1095,0.1095,0.11217388962499797,4,-0.00035421962083700964,-0.0030281092458349784
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-29,24,0.10671838326656417,0.10676899196051864,0.10666789431440084,0.111317408,0.111317408,0.111317408,0.11306518616666494,3,-0.004599024733435833,-0.00634680290010077
10-HYPERLIQUID-BTC-31OCT2025,10,Hyperliquid,BTC,BTC,2025-10-31,2025-10-30,24,0.11016486277959048,0.11019790882593074,0.11005258608244561,0.1183781505,0.1183781505,0.11837815050000002,0.11393907525000202,2,-0.008213287720409537,-0.003774212470411542
100-HYPERLIQUID-xyzXYZ100-24APR2026,100,Hyperliquid,XYZ100,xyzXYZ100,2026-04-24,2026-03-31,17,-0.010829687664103709,-0.01166292996867973,,-0.051666608823529414,-0.06544304858823528,-0.030891701999999997,-0.05763008068000005,25,0.020062014335896286,0.04680039301589634
100-HYPERLIQUID-xyzXYZ100-24APR2026,100,Hyperliquid,XYZ100,xyzXYZ100,2026-04-24,2026-04-01,24,-0.019787234310375493,-0.02140033900677178,,-0.190785792,-0.1862526015,-0.1862526015,-0.05874417979166672,24,0.1664653671896245,0.03895694548129122
100-HYPERLIQUID-xyzXYZ100-24APR2026,100,Hyperliquid,XYZ100,xyzXYZ100,2026-04-24,2026-04-02,24,-0.03231704561264107,-0.033584993921986515,,-0.18416359699999998,-0.176657226,-0.176657226,-0.05320033536956529,23,0.14434018038735894,0.020883289756924217
100-HYPERLIQUID-xyzXYZ100-24APR2026,100,Hyperliquid,XYZ100,xyzXYZ100,2026-04-24,2026-04-03,24,-0.03741870445690739,-0.037307568377053985,,-0.022840824,-0.02345636,-0.02345636,-0.04758865852272736,22,-0.013962344456907392,0.01016995406581997
100-HYPERLIQUID-xyzXYZ100-24APR2026,100,Hyperliquid,XYZ100,xyzXYZ100,2026-04-24,2026-04-04,24,-0.03418002769314977,-0.03225374534031565,,0.0325838785,0.0331994145,0.0331994145,-0.04873781559523815,21,-0.06737944219314977,0.014557787902088379
100-HYPERLIQUID-xyzXYZ100-24APR2026,100,Hyperliquid,XYZ100,xyzXYZ100,2026-04-24,2026-04-05,24,-0.03907504983624183,-0.03848446947622424,,0.0776976595,0.075066703,0.075066703,-0.052834677100000074,20,-0.11414175283624184,0.013759627263758241
100-HYPERLIQUID-xyzXYZ100-24APR2026,100,Hyperliquid,XYZ100,xyzXYZ100,2026-04-24,2026-04-06,24,-0.04015542008238629,-0.03937409821961401,,-0.1307674915,-0.137832979,-0.137832979,-0.05956632868421056,19,0.0976775589176137,0.01941090860182427
100-HYPERLIQUID-xyzXYZ100-24APR2026,100,Hyperliquid,XYZ100,xyzXYZ100,2026-04-24,2026-04-07,24,-0.04180452119386203,-0.044051287437697616,,-0.223603015,-0.213906571,-0.213906571,-0.055218181444444445,18,0.17210204980613797,0.013413660250582417
